IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
158.101.208.48,443,443,TRUE,FRA,Europe,Frankfurt,203,8.78
141.144.233.188,443,443,TRUE,FRA,Europe,Frankfurt,193,8.76
131.186.41.255,2082,2082,FALSE,HKG,Asia Pacific,Hong Kong,142,8.76
141.147.182.76,80,80,FALSE,HKG,Asia Pacific,Hong Kong,141,8.75
151.145.68.166,2052,2052,FALSE,HKG,Asia Pacific,Hong Kong,195,8.75
151.145.69.174,8880,8880,FALSE,HKG,Asia Pacific,Hong Kong,193,8.75
168.138.206.109,2087,0,TRUE,NRT,Asia Pacific,Tokyo,82,8.74
158.178.153.229,443,443,TRUE,FRA,Europe,Frankfurt,184,8.74
132.145.114.4,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,230,8.74
152.70.102.124,2095,2095,FALSE,HKG,Asia Pacific,Hong Kong,131,8.74
141.147.174.7,80,80,FALSE,HKG,Asia Pacific,Hong Kong,151,8.73
131.186.40.31,8080,8080,FALSE,HKG,Asia Pacific,Hong Kong,147,8.73
141.147.182.70,2096,2096,TRUE,NRT,Asia Pacific,Tokyo,78,8.73
168.138.205.38,2086,2086,FALSE,HKG,Asia Pacific,Hong Kong,150,8.73
158.101.146.165,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,141,8.72
150.230.197.156,2082,2082,FALSE,NRT,Asia Pacific,Tokyo,87,8.72
158.101.133.129,2096,2096,TRUE,NRT,Asia Pacific,Tokyo,85,8.72
141.148.225.19,443,443,TRUE,FRA,Europe,Frankfurt,203,8.71
150.230.204.117,80,80,FALSE,NRT,Asia Pacific,Tokyo,79,8.7
143.47.189.64,443,443,TRUE,FRA,Europe,Frankfurt,194,8.7
168.138.212.184,2096,2096,TRUE,NRT,Asia Pacific,Tokyo,173,8.69
131.186.41.255,2087,2087,TRUE,HKG,Asia Pacific,Hong Kong,160,8.69
132.145.121.123,2086,2086,FALSE,HKG,Asia Pacific,Hong Kong,193,8.68
150.230.216.117,80,80,FALSE,NRT,Asia Pacific,Tokyo,79,8.68
158.101.140.255,2083,2083,TRUE,HKG,Asia Pacific,Hong Kong,166,8.67
158.101.147.4,2052,2052,FALSE,HKG,Asia Pacific,Hong Kong,222,8.67
158.101.155.158,2052,2052,FALSE,HKG,Asia Pacific,Hong Kong,151,8.66
131.186.59.232,2082,2082,FALSE,HKG,Asia Pacific,Hong Kong,140,8.66
