IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.222.137.166,2053,2053,TRUE,SIN,Asia Pacific,Singapore,124,11.49
8.222.252.150,8443,8443,TRUE,SIN,Asia Pacific,Singapore,81,11.49
8.222.238.141,2052,2052,FALSE,SIN,Asia Pacific,Singapore,6,11.48
8.219.0.162,8443,8443,TRUE,SIN,Asia Pacific,Singapore,91,11.48
8.219.113.27,2086,2086,FALSE,SIN,Asia Pacific,Singapore,22,11.48
8.222.253.235,2053,2053,TRUE,SIN,Asia Pacific,Singapore,88,11.48
8.219.167.113,8443,8443,TRUE,SIN,Asia Pacific,Singapore,58,11.47
47.236.172.41,2082,2082,FALSE,SIN,Asia Pacific,Singapore,28,11.47
8.219.140.229,8080,8080,FALSE,SIN,Asia Pacific,Singapore,22,11.47
8.219.151.193,2053,2053,TRUE,SIN,Asia Pacific,Singapore,87,11.47
8.219.186.189,8880,8880,FALSE,SIN,Asia Pacific,Singapore,15,11.47
8.218.8.142,2086,2086,FALSE,HKG,Asia Pacific,Hong Kong,44,11.47
47.74.14.85,2083,2083,TRUE,SIN,Asia Pacific,Singapore,165,11.47
47.91.2.5,8443,8443,TRUE,NRT,Asia Pacific,Tokyo,94,11.47
8.222.224.162,2087,2087,TRUE,SIN,Asia Pacific,Singapore,49,11.47
8.219.129.38,8443,8443,TRUE,SIN,Asia Pacific,Singapore,91,11.47
47.74.15.117,8080,8080,FALSE,HKG,Asia Pacific,Hong Kong,170,11.46
8.219.145.245,2087,2087,TRUE,SIN,Asia Pacific,Singapore,119,11.46
8.219.170.223,2052,2052,FALSE,SIN,Asia Pacific,Singapore,11,11.46
8.219.104.242,2087,2087,TRUE,SIN,Asia Pacific,Singapore,100,11.46
47.74.26.131,2053,2053,TRUE,NRT,Asia Pacific,Tokyo,155,11.46
47.74.16.67,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,189,11.46
8.219.208.69,2095,2095,FALSE,SIN,Asia Pacific,Singapore,15,11.45
47.74.13.239,2083,2083,TRUE,NRT,Asia Pacific,Tokyo,111,11.45
8.222.221.109,2095,2095,FALSE,SIN,Asia Pacific,Singapore,17,11.45
8.219.129.38,2095,2095,FALSE,SIN,Asia Pacific,Singapore,5,11.45
8.219.248.47,2082,2082,FALSE,SIN,Asia Pacific,Singapore,19,11.44
8.219.245.232,2087,2087,TRUE,SIN,Asia Pacific,Singapore,185,11.44
8.218.52.115,2095,2095,FALSE,HKG,Asia Pacific,Hong Kong,45,11.44
47.236.176.144,2082,2082,FALSE,SIN,Asia Pacific,Singapore,10,11.44
47.74.13.94,2052,2052,FALSE,NRT,Asia Pacific,Tokyo,80,11.44
8.219.193.202,443,443,TRUE,SIN,Asia Pacific,Singapore,124,11.44
47.236.180.51,2053,2053,TRUE,SIN,Asia Pacific,Singapore,83,11.43
8.222.244.192,2083,2083,TRUE,SIN,Asia Pacific,Singapore,83,11.43
8.219.206.180,2053,2053,TRUE,SIN,Asia Pacific,Singapore,137,11.42
8.222.215.228,2053,2053,TRUE,SIN,Asia Pacific,Singapore,55,11.42
8.218.8.142,80,80,FALSE,HKG,Asia Pacific,Hong Kong,43,11.42
8.219.173.195,2052,2052,FALSE,SIN,Asia Pacific,Singapore,13,11.42
8.217.250.5,8080,8080,FALSE,HKG,Asia Pacific,Hong Kong,45,11.42
8.219.84.214,8443,0,TRUE,SIN,Asia Pacific,Singapore,47,11.42
8.222.224.162,2095,2095,FALSE,SIN,Asia Pacific,Singapore,35,11.42
8.219.245.187,2095,2095,FALSE,SIN,Asia Pacific,Singapore,40,11.42
8.222.221.90,8443,8443,TRUE,SIN,Asia Pacific,Singapore,43,11.42
47.74.6.16,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,170,11.42
47.236.147.146,2082,2082,FALSE,SIN,Asia Pacific,Singapore,11,11.41
8.219.12.152,8443,8443,TRUE,SIN,Asia Pacific,Singapore,86,11.41
8.219.102.252,8880,8880,FALSE,SIN,Asia Pacific,Singapore,19,11.41
47.74.26.196,2083,2083,TRUE,HKG,Asia Pacific,Hong Kong,170,11.41
47.74.11.219,2086,2086,FALSE,NRT,Asia Pacific,Tokyo,85,11.41
8.222.210.182,2083,2083,TRUE,SIN,Asia Pacific,Singapore,151,11.41
8.219.255.171,2053,2053,TRUE,SIN,Asia Pacific,Singapore,128,11.41
8.219.63.66,2096,2096,TRUE,SIN,Asia Pacific,Singapore,79,11.41
47.236.180.51,2086,2086,FALSE,SIN,Asia Pacific,Singapore,24,11.4
8.219.215.214,2095,2095,FALSE,SIN,Asia Pacific,Singapore,52,11.4
8.219.204.120,8443,8443,TRUE,SIN,Asia Pacific,Singapore,93,11.4
47.74.43.24,80,80,FALSE,HKG,Asia Pacific,Hong Kong,165,11.4
8.219.82.35,2087,2087,TRUE,SIN,Asia Pacific,Singapore,76,11.39
8.219.147.58,8080,8080,FALSE,SIN,Asia Pacific,Singapore,15,11.39
47.74.22.171,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,244,11.39
47.74.49.62,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,249,11.39
8.219.198.139,2052,2052,FALSE,SIN,Asia Pacific,Singapore,25,11.39
8.219.60.54,8880,8880,FALSE,SIN,Asia Pacific,Singapore,5,11.39
8.222.145.110,2083,2083,TRUE,SIN,Asia Pacific,Singapore,9,11.39
47.74.15.117,2087,2087,TRUE,HKG,Asia Pacific,Hong Kong,235,11.38
8.219.198.34,2082,2082,FALSE,SIN,Asia Pacific,Singapore,16,11.38
47.74.23.99,2083,2083,TRUE,SIN,Asia Pacific,Singapore,192,11.38
47.91.3.135,2087,2087,TRUE,HKG,Asia Pacific,Hong Kong,136,11.38
8.222.190.225,8080,8080,FALSE,SIN,Asia Pacific,Singapore,4,11.38
47.74.5.233,2096,2096,TRUE,SIN,Asia Pacific,Singapore,228,11.38
8.218.8.142,2082,2082,FALSE,HKG,Asia Pacific,Hong Kong,42,11.38
8.222.221.90,8080,8080,FALSE,SIN,Asia Pacific,Singapore,31,11.37
8.219.134.63,8880,0,FALSE,SIN,Asia Pacific,Singapore,3,11.37
47.74.0.183,2052,2052,FALSE,NRT,Asia Pacific,Tokyo,79,11.37
8.219.90.32,2096,2096,TRUE,SIN,Asia Pacific,Singapore,83,11.37
8.219.50.180,2096,2096,TRUE,SIN,Asia Pacific,Singapore,67,11.37
47.236.180.51,8080,8080,FALSE,SIN,Asia Pacific,Singapore,26,11.37
8.222.244.123,2086,2086,FALSE,SIN,Asia Pacific,Singapore,3,11.36
47.74.11.219,80,80,FALSE,NRT,Asia Pacific,Tokyo,79,11.36
47.91.17.102,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,173,11.36
47.74.36.154,2086,2086,FALSE,HKG,Asia Pacific,Hong Kong,167,11.36
47.74.52.104,2095,2095,FALSE,HKG,Asia Pacific,Hong Kong,182,11.36
8.218.22.210,2086,2086,FALSE,HKG,Asia Pacific,Hong Kong,60,11.35
8.222.150.197,2096,2096,TRUE,SIN,Asia Pacific,Singapore,53,11.35
47.74.26.131,2087,2087,TRUE,NRT,Asia Pacific,Tokyo,113,11.35
47.74.27.211,2087,2087,TRUE,SIN,Asia Pacific,Singapore,224,11.35
47.74.6.16,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,216,11.35
47.245.114.163,2083,2083,TRUE,SIN,Asia Pacific,Singapore,57,11.34
47.74.0.183,8880,8880,FALSE,NRT,Asia Pacific,Tokyo,75,11.34
47.74.49.136,2053,2053,TRUE,NRT,Asia Pacific,Tokyo,152,11.34
8.219.102.252,2053,2053,TRUE,SIN,Asia Pacific,Singapore,108,11.34
8.222.221.86,443,443,TRUE,SIN,Asia Pacific,Singapore,95,11.34
8.222.146.222,2082,2082,FALSE,SIN,Asia Pacific,Singapore,16,11.34
8.219.134.117,2053,2053,TRUE,SIN,Asia Pacific,Singapore,96,11.34
47.236.121.23,8880,8880,FALSE,SIN,Asia Pacific,Singapore,7,11.34
8.218.85.128,2095,2095,FALSE,HKG,Asia Pacific,Hong Kong,63,11.33
47.74.34.73,80,80,FALSE,NRT,Asia Pacific,Tokyo,70,11.33
47.74.16.67,2096,2096,TRUE,NRT,Asia Pacific,Tokyo,96,11.33
8.222.227.191,2053,2053,TRUE,SIN,Asia Pacific,Singapore,65,11.32
47.74.13.66,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,205,11.32
8.222.236.229,2087,2087,TRUE,SIN,Asia Pacific,Singapore,169,11.32
8.219.210.93,8080,8080,FALSE,SIN,Asia Pacific,Singapore,25,11.32
8.222.140.185,2095,2095,FALSE,SIN,Asia Pacific,Singapore,26,11.32
